CutOff,Modulus,VTR,Bio,xval,Line
800,0.5 MPa,0.032713532,0.835864567,100,0.5
800,0.5 MPa,0.303624444,0.718740963,200,0.5
800,0.5 MPa,0.00920201,0.518337193,300,0.5
800,0.5 MPa,0.397591115,0.897925849,400,0.5
800,0.5 MPa,0.02482288,0.858924988,500,0.5
800,0.5 MPa,0.034489281,0.682320853,600,0.5
800,0.5 MPa,0.804114353,0.883173828,700,0.5
800,0.5 MPa,0.208150631,0.828771789,800,0.5
800,0.5 MPa,0.005666266,0.274395838,800,2400
800,0.5 MPa,0.421878628,1.023727182,900,2700
800,0.5 MPa,0.02194397,1.193887301,1000,3000
800,0.5 MPa,0.371056772,0.734803487,1100,3300
800,0.5 MPa,0.17755415,0.995180818,1200,3600
800,0.5 MPa,0.082210261,1.168709372,1300,3900
800,0.5 MPa,0.033520825,0.503091704,1400,4200
800,0.5 MPa,1.172416708,1.428070269,1500,4500
900,0.5 MPa,0.012431898,0.980717275,0,0.5
900,0.5 MPa,0.00878246,0.835864567,100,0.5
900,0.5 MPa,0.04433036,0.718740963,200,0.5
900,0.5 MPa,0.003679284,0.518337193,300,0.5
900,0.5 MPa,0.009541099,0.897925849,400,0.5
900,0.5 MPa,0.004490973,0.858924988,500,0.5
900,0.5 MPa,0.005340727,0.682320853,600,0.5
900,0.5 MPa,0.181558454,0.883173828,700,0.5
900,0.5 MPa,0.009592939,0.828771789,800,0.5
900,0.5 MPa,0.002782867,0.274395838,900,0.5
900,0.5 MPa,0.013787343,1.023727182,900,2700
900,0.5 MPa,0.009982564,1.193887301,1000,3000
900,0.5 MPa,0.126139603,0.734803487,1100,3300
900,0.5 MPa,0.015692552,0.995180818,1200,3600
900,0.5 MPa,0.005766204,1.168709372,1300,3900
900,0.5 MPa,0.00480962,0.503091704,1400,4200
900,0.5 MPa,0.152285796,1.428070269,1500,4500
1000,0.5 MPa,0.00401118,0.980717275,0,0.5
1000,0.5 MPa,0.005029962,0.835864567,100,0.5
1000,0.5 MPa,0.002437035,0.718740963,200,0.5
1000,0.5 MPa,0.00316766,0.518337193,300,0.5
1000,0.5 MPa,0.004502367,0.897925849,400,0.5
1000,0.5 MPa,0.003739889,0.858924988,500,0.5
1000,0.5 MPa,0.003286524,0.682320853,600,0.5
1000,0.5 MPa,0.010715681,0.883173828,700,0.5
1000,0.5 MPa,0.005057093,0.828771789,800,0.5
1000,0.5 MPa,0.002079603,0.274395838,900,0.5
1000,0.5 MPa,0.00398524,1.023727182,1000,0.5
1000,0.5 MPa,0.007759397,1.193887301,1000,3000
1000,0.5 MPa,0.004757998,0.734803487,1100,3300
1000,0.5 MPa,0.002548461,0.995180818,1200,3600
1000,0.5 MPa,0.002214506,1.168709372,1300,3900
1000,0.5 MPa,0.001733967,0.503091704,1400,4200
1000,0.5 MPa,0.009974602,1.428070269,1500,4500
1100,0.5 MPa,0.003221082,0.980717275,0,0.5
1100,0.5 MPa,0.004126273,0.835864567,100,0.5
1100,0.5 MPa,0.002014238,0.718740963,200,0.5
1100,0.5 MPa,0.002922864,0.518337193,300,0.5
1100,0.5 MPa,0.002836968,0.897925849,400,0.5
1100,0.5 MPa,0.003300308,0.858924988,500,0.5
1100,0.5 MPa,0.002718797,0.682320853,600,0.5
1100,0.5 MPa,0.003029314,0.883173828,700,0.5
1100,0.5 MPa,0.003702059,0.828771789,800,0.5
1100,0.5 MPa,0.001858616,0.274395838,900,0.5
1100,0.5 MPa,0.002901314,1.023727182,1000,0.5
1100,0.5 MPa,0.005681978,1.193887301,1100,0.5
1100,0.5 MPa,0.001680527,0.734803487,1100,3300
1100,0.5 MPa,0.00142276,0.995180818,1200,3600
1100,0.5 MPa,0.001557098,1.168709372,1300,3900
1100,0.5 MPa,0.001304687,0.503091704,1400,4200
1100,0.5 MPa,0.005387316,1.428070269,1500,4500
1200,0.5 MPa,0.002542819,0.980717275,0,0.5
1200,0.5 MPa,0.003457359,0.835864567,100,0.5
1200,0.5 MPa,0.001730885,0.718740963,200,0.5
1200,0.5 MPa,0.002514828,0.518337193,300,0.5
1200,0.5 MPa,0.002338061,0.897925849,400,0.5
1200,0.5 MPa,0.002709598,0.858924988,500,0.5
1200,0.5 MPa,0.00230224,0.682320853,600,0.5
1200,0.5 MPa,0.002431591,0.883173828,700,0.5
1200,0.5 MPa,0.002944538,0.828771789,800,0.5
1200,0.5 MPa,0.001593494,0.274395838,900,0.5
1200,0.5 MPa,0.002112516,1.023727182,1000,0.5
1200,0.5 MPa,0.005018957,1.193887301,1100,0.5
1200,0.5 MPa,0.000821104,0.734803487,1200,0.5
1200,0.5 MPa,0.001123359,0.995180818,1200,3600
1200,0.5 MPa,0.001276629,1.168709372,1300,3900
1200,0.5 MPa,0.001159407,0.503091704,1400,4200
1200,0.5 MPa,0.004084986,1.428070269,1500,4500
1300,0.5 MPa,0.000749181,0.980717275,0,0.5
1300,0.5 MPa,0.001779654,0.835864567,100,0.5
1300,0.5 MPa,0.001183768,0.718740963,200,0.5
1300,0.5 MPa,0.000277122,0.518337193,300,0.5
1300,0.5 MPa,0.000270804,0.897925849,400,0.5
1300,0.5 MPa,0.000250497,0.858924988,500,0.5
1300,0.5 MPa,0.000385101,0.682320853,600,0.5
1300,0.5 MPa,0.000416039,0.883173828,700,0.5
1300,0.5 MPa,0.000252932,0.828771789,800,0.5
1300,0.5 MPa,0.000410281,0.274395838,900,0.5
1300,0.5 MPa,0.000169059,1.023727182,1000,0.5
1300,0.5 MPa,0.000670251,1.193887301,1100,0.5
1300,0.5 MPa,0.000221433,0.734803487,1200,0.5
1300,0.5 MPa,0.000467572,0.995180818,1300,0.5
1300,0.5 MPa,0.000204878,1.168709372,1300,3900
1300,0.5 MPa,0.000255061,0.503091704,1400,4200
1300,0.5 MPa,0.000367649,1.428070269,1500,4500
1400,0.5 MPa,6.01811E-05,0.980717275,0,0.5
1400,0.5 MPa,6.47453E-05,0.835864567,100,0.5
1400,0.5 MPa,6.00773E-05,0.718740963,200,0.5
1400,0.5 MPa,6.54404E-05,0.518337193,300,0.5
1400,0.5 MPa,6.59079E-05,0.897925849,400,0.5
1400,0.5 MPa,5.56293E-05,0.858924988,500,0.5
1400,0.5 MPa,5.84916E-05,0.682320853,600,0.5
1400,0.5 MPa,6.54089E-05,0.883173828,700,0.5
1400,0.5 MPa,8.31662E-05,0.828771789,800,0.5
1400,0.5 MPa,6.63404E-05,0.274395838,900,0.5
1400,0.5 MPa,5.55165E-05,1.023727182,1000,0.5
1400,0.5 MPa,8.85572E-05,1.193887301,1100,0.5
1400,0.5 MPa,4.58324E-05,0.734803487,1200,0.5
1400,0.5 MPa,7.47515E-05,0.995180818,1300,0.5
1400,0.5 MPa,8.6408E-05,1.168709372,1400,0.5
1400,0.5 MPa,6.4497E-05,0.503091704,1400,4200
1400,0.5 MPa,9.01642E-05,1.428070269,1500,4500
1500,0.5 MPa,5.57013E-05,0.980717275,0,0.5
1500,0.5 MPa,6.08563E-05,0.835864567,100,0.5
1500,0.5 MPa,4.20576E-05,0.718740963,200,0.5
1500,0.5 MPa,6.08782E-05,0.518337193,300,0.5
1500,0.5 MPa,5.59757E-05,0.897925849,400,0.5
1500,0.5 MPa,4.90282E-05,0.858924988,500,0.5
1500,0.5 MPa,5.78624E-05,0.682320853,600,0.5
1500,0.5 MPa,5.91236E-05,0.883173828,700,0.5
1500,0.5 MPa,7.93155E-05,0.828771789,800,0.5
1500,0.5 MPa,4.48793E-05,0.274395838,900,0.5
1500,0.5 MPa,5.07715E-05,1.023727182,1000,0.5
1500,0.5 MPa,7.35896E-05,1.193887301,1100,0.5
1500,0.5 MPa,4.52509E-05,0.734803487,1200,0.5
1500,0.5 MPa,7.15593E-05,0.995180818,1300,0.5
1500,0.5 MPa,8.20277E-05,1.168709372,1400,0.5
1500,0.5 MPa,5.89874E-05,0.503091704,1500,0.5
1500,0.5 MPa,8.7832E-05,1.428070269,1500,0.5
0,5 MPa,1.23705729,0.980717275,0,0
0,5 MPa,1.30959984,0.835864567,0,0
0,5 MPa,0.94056089,0.718740963,100,300
0,5 MPa,1.20832594,0.518337193,200,600
0,5 MPa,1.23681588,0.897925849,300,900
0,5 MPa,1.053021648,0.858924988,400,1200
